asteroid	/ˈæs.tər.ɔɪd/	noun [ C ]		one of many large rocks that circle the sun							output/1588410692-u10_nouns/1-asteroid-media-english-uk_pron-u-uka-ukass-ukassiz021.mp3
gas	/ɡæs/	noun (LIQUID FUEL)	A2 [ U ] US (also formal gasoline) (UK petrol)	a liquid obtained from petroleum, used especially as a fuel for cars, aircraft, and other vehicles		(1) I'll stop and get some gas - we're running low. (2) a gas tank/pump					output/1588410692-u10_nouns/11-gas-media-english-uk_pron-u-ukg-ukgar-ukgarne012.mp3
gas	/ɡæs/	noun (ENJOYABLE SITUATION)	[ S ] mainly US informal old-fashioned	a funny or enjoyable situation		 (1) Some kids put on a show for the moms and dads, - it was a gas.					output/1588410692-u10_nouns/11-gas-media-english-uk_pron-u-ukg-ukgar-ukgarne012.mp3
gas	/ɡæs/	verb (POISON)	[ T ]	to kill or injure a person by making them breathe poisonous gas		 (1) Hundreds of thousands of soldiers were gassed in the First World War.					output/1588410692-u10_nouns/11-gas-media-english-uk_pron-u-ukg-ukgar-ukgarne012.mp3
gas	/ɡæs/	verb (TALK)	[ I ] old-fashioned informal	to talk for a long time about things that are not important		 (1) Susan came round and we sat gassing for hours.					output/1588410692-u10_nouns/11-gas-media-english-uk_pron-u-ukg-ukgar-ukgarne012.mp3
gravity	/ˈɡræv.ə.ti/	noun [U] (FORCE)		the force that attracts objects towards one another, especially the force that makes things fall to the ground		 (1) the laws of gravity					output/1588410692-u10_nouns/12-gravity-media-english-uk_pron-u-ukg-ukgra-ukgravi001.mp3
gravity	/ˈɡræv.ə.ti/	noun [U] (SERIOUS)		seriousness		 (1) I don't think you understand the gravity of the situation.	seriousness (BAD), severity (SERIOUS)				output/1588410692-u10_nouns/12-gravity-media-english-uk_pron-u-ukg-ukgra-ukgravi001.mp3
horizon	/həˈraɪ.zən/	noun [ S ]	C2	the line at the farthest place that you can see, where the sky seems to touch the land or sea		(1) The moon rose slowly above the horizon. (2) We could see a row of camels silhouetted on the horizon.					output/1588410692-u10_nouns/13-horizon-media-english-uk_pron-u-ukh-ukhoo-ukhoove013.mp3
launch	/lɔːntʃ/	noun [C] (EVENT)	C1	an event to celebrate or introduce something new		(1) How much champagne will we need for the launch? (2) Illness prevented her attending the launch party for her latest novel.					output/1588410692-u10_nouns/14-launch-media-english-uk_pron-u-ukl-uklat-uklatvi010.mp3
launch	/lɔːntʃ/	noun [C] (LEAVE LAND)	C1	an occasion when a ship is put into water, or a spacecraft is sent into space, for the first time		 (1) The launch of the space shuttle was delayed for 24 hours because of bad weather.					output/1588410692-u10_nouns/14-launch-media-english-uk_pron-u-ukl-uklat-uklatvi010.mp3
launch	/lɔːntʃ/	noun [C] (BOAT)		a boat that has an engine and carries passengers for short distances, especially on a lake or a river, or from the land to a larger boat							output/1588410692-u10_nouns/14-launch-media-english-uk_pron-u-ukl-uklat-uklatvi010.mp3
launch	/lɔːntʃ/	verb (BEGIN)	B2 [ I or T ]	to begin something such as a plan or introduce something new such as a product		(1) The programme was launched a year ago. (2) The airline will launch its new transatlantic service next month. (3) A devastating attack was launched on the rebel stronghold. (4) [ + adv/prep ] UK After working for the company for several years she decided to launch out on her own and set up in business.					output/1588410692-u10_nouns/14-launch-media-english-uk_pron-u-ukl-uklat-uklatvi010.mp3
launch	/lɔːntʃ/	verb (SEND)	C1 [ T ]	to send something out, such as a new ship into the water or a spacecraft into space		(1) A spokesman for the dockyard said they hoped to launch the first submarine within two years. (2) to launch a missile					output/1588410692-u10_nouns/14-launch-media-english-uk_pron-u-ukl-uklat-uklatvi010.mp3
meteor	/ˈmiː.ti.ɔːr/	noun [ C ]		a piece of rock or other matter from space that produces a bright light as it travels through the atmosphere					falling star (UK), shooting star (informal), meteorite, meteoroid		output/1588410692-u10_nouns/15-meteor-media-english-uk_pron-u-ukm-ukmet-ukmetap006.mp3
moon	/muːn/	noun	[ S or U ]	the shape made by the amount of the moon that you can see at a particular time		(1) There's no moon (= you cannot see the moon) tonight. (2) a crescent/full/new moon					output/1588410692-u10_nouns/16-moon-media-english-uk_pron-u-ukm-ukmon-ukmonot029.mp3
moon	/muːn/	noun	[ C ]	a similar round object that moves around another planet		 (1) Jupiter has at least 16 moons.					output/1588410692-u10_nouns/16-moon-media-english-uk_pron-u-ukm-ukmon-ukmonot029.mp3
moon	/muːn/	verb [ I or T ] informal		to show your naked bottom in public, as a joke or as a protest 		 (1) Two male juveniles were arrested and charged with indecent exposure after they mooned a police officer.					output/1588410692-u10_nouns/16-moon-media-english-uk_pron-u-ukm-ukmon-ukmonot029.mp3
ocean	/ˈəʊ.ʃən/	noun	A2 [ S ]	a very large area of sea		 (1) These mysterious creatures live at the bottom of the ocean.					output/1588410692-u10_nouns/17-ocean-media-english-uk_pron-u-uko-ukocc-ukoccup008.mp3
ocean	/ˈəʊ.ʃən/	noun	[ C ]	used in the name of each of the world's five main areas of sea		 (1) the Atlantic/Pacific/Indian/Arctic/Antarctic Ocean					output/1588410692-u10_nouns/17-ocean-media-english-uk_pron-u-uko-ukocc-ukoccup008.mp3
orbit	/ˈɔː.bɪt/	noun [ C or U ]		the curved path through which objects in space move around a planet or star		(1) The satellite is now in a stable orbit. (2) Once in space, the spacecraft will go into orbit around Earth.					output/1588410692-u10_nouns/18-orbit-media-english-uk_pron-u-uko-ukora-ukorang012.mp3
orbit	/ˈɔː.bɪt/	verb [ I or T ]		to follow a curved path around a planet or star		 (1) On this mission the Shuttle will orbit (the Earth) at a height of several hundred miles.			revolve		output/1588410692-u10_nouns/18-orbit-media-english-uk_pron-u-uko-ukora-ukorang012.mp3
